num_lectures,price,days_since_published,content_duration
14,20,3290,1.0
18,50,3146,3.0
73,170,2374,5.0
22,20,2667,1.0
12,20,3091,1.0
20,25,2138,1.0
21,20,2679,1.0
13,60,3528,1.5
33,20,2086,5.0
18,70,2658,1.5
80,50,2225,5.5
14,25,2278,0.5333333333333333
48,20,2196,4.5
15,35,3162,1.5
13,20,2316,0.5833333333333334
20,60,2826,1.5
11,0,2403,0.6333333333333333
31,70,2140,2.5
33,0,1971,3.5
9,50,2538,1.0
30,50,2572,1.5
28,20,2322,1.5
31,50,2386,1.0
10,20,2407,1.0
40,105,2726,2.5
62,60,2477,11.0
7,45,2155,0.55
13,30,3114,2.0
16,195,2412,2.0
17,100,1985,2.5
17,35,2015,1.5
26,150,2084,3.0
64,195,1966,6.5
12,30,2595,1.5
29,50,2326,2.0
25,50,3632,4.0
59,145,2125,3.0
11,0,2690,1.5
36,70,2368,3.5
26,20,2393,3.0
55,200,2849,6.5
32,40,2519,3.5
135,40,2671,6.0
26,65,2436,1.0
12,200,2158,1.0
45,50,3202,7.0
12,25,2323,1.0
31,50,2509,1.0
16,50,1951,1.0
49,40,2211,6.0
15,50,2331,1.5
14,20,2022,1.5
30,40,3044,3.5
18,195,2737,1.5
20,50,3104,4.5
57,50,3658,7.5
28,20,2847,2.0
31,0,2587,2.5
14,25,2143,2.0
42,195,2485,4.5
38,195,2705,2.5
16,200,1943,1.5
14,20,3366,1.5
11,20,2109,1.5
22,40,2014,2.0
18,40,2568,1.0
19,200,2211,1.0
65,165,2171,18.5
45,150,2478,4.0
24,180,3519,4.5
17,50,2421,1.5
33,35,2000,1.0
83,30,2827,5.0
31,50,1977,6.0
9,20,2562,0.6166666666666667
74,200,1950,8.5
125,200,1964,19.5
8,20,3286,1.0
25,20,2288,1.5
14,75,2399,1.0
16,95,2797,2.0
30,120,2608,3.0
7,20,2113,1.0
39,95,2896,2.0
32,0,2632,3.0
23,20,3079,3.0
41,195,2433,4.0
54,35,2539,4.0
89,150,2182,20.5
6,20,1979,0.7
33,25,2070,1.5
33,30,2888,2.0
18,40,3046,3.0
308,150,2376,29.5
28,85,2559,2.5
9,40,2158,0.6333333333333333
10,200,2076,2.0
52,35,3923,3.5
36,25,1949,3.0
98,175,2226,16.5
6,20,1973,0.5666666666666667
16,20,2922,2.0
18,0,1943,1.5
10,25,2138,1.0
64,35,3695,10.0
26,95,2411,2.0
39,95,2370,3.0
20,140,2538,1.5
28,100,2770,3.0
10,50,2315,1.0
17,25,2908,1.5
34,30,2313,3.5
65,150,2168,4.5
